timestamp,edge_node,edge_node_location,provider,bytes,user_id,user_location,execution_time,subarea
2345480,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,68833,42,"(5748.023046649621551932215052, 6347.431511593353073823299850)",706,4
2347894,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79651,64,"(2050.613404331644198563278814, 7346.789975893685431490156884)",1266,6
2349586,4,"(7286, 6318)",dwvuenmgxoclebjqxuolmboggnkcragj,71498,78,"(7993.306370084033730206270098, 7445.437201959894114364074430)",810,8
2352536,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,75335,66,"(6788.963436758011135515468220, 4564.604170324447011107963717)",812,5
2353064,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,73793,5,"(4299.853616479408500903323360, 4993.655162707950928351333565)",796,4
2355608,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,69398,46,"(4402.338543172419253675533349, 3658.776707393099251131493107)",780,4
2356753,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,72106,7,"(4178.092222162683431450422246, 2960.619261197628606152534308)",751,1
2357870,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,76357,27,"(4696.785868952758746071828156, 3572.744639526614474194107158)",906,4
2357961,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,74368,67,"(4019.207478914361485120087371, 6499.146484187471201416306337)",798,4
2357984,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,74051,4,"(2572.694064408378832838809176, 8252.993767183793882298910464)",2081,6
2359218,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,72473,48,"(4004.112341906021757413355796, 3780.817168064706206392443192)",747,4
2361876,3,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,91154,60,"(6030.185673059713197323104920, 1509.223396193243781612315680)",672,1
2362351,4,"(7286, 6318)",dwvuenmgxoclebjqxuolmboggnkcragj,66701,84,"(8738.534068385162918656937566, 5165.321640646346621112429451)",811,5
2363029,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,72249,61,"(5738.803544984035790282556832, 5993.516064180283625136967675)",671,4
2363909,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,85146,82,"(7300.752082760261428803241450, 2664.435581780725510073665355)",1078,2
2364559,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,80385,21,"(4190.498045207178925320253863, 6515.025097249540603321875325)",1671,4
2366040,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,69009,11,"(7867.405646113354282288231879, 4304.436100428778933606738210)",781,5
2368692,4,"(7286, 6318)",dwvuenmgxoclebjqxuolmboggnkcragj,72291,34,"(7399.314292046375888484789526, 6124.334645383236048485707573)",859,5
