label,aoi_mean,aoi_calculate_margin_error,total_latency_mean,total_latency_calculate_margin_error,number_of_requests_to_provider_mean,number_of_requests_to_provider_calculate_margin_error,hit_rate_mean,hit_rate_calculate_margin_error
baseline,254.1917313946816,7.063209229620746,1368.7299122552567,16.788515680503494,179980.33333333334,227.03431316251616,0.0,0.0
v2accuracy-0-N0-standard-cache-mode-id,34567.80269434753,339.4582851654802,1187.6640808135242,12.134593567705183,156096.93333333332,234.5967178663317,0.1319049712028241,0.0008597663786597243
v2accuracy-0-N0-standard-cache-mode-location,40322.89494190319,201.30693576470344,1176.30302517913,27.086047323439914,154458.46666666667,181.06280017454864,0.14189309483384768,0.0005518180316569161
v2accuracy-0-N0-standard-cache-mode-mix,36584.36084850359,399.63442558607085,1191.4718639760308,14.077747912398513,155621.13333333333,246.5791957748953,0.1350750461426233,0.0009972923548959112
v2accuracy-0-N0-standard-cache-mode-type,38364.01213052481,398.7167097294065,1195.329685562718,28.174951808314844,155155.96666666667,285.58341052096927,0.13788404413204167,0.0010597392229405452
v2accuracy-0-N0-standard-id,34567.80269434753,339.4582851654802,1187.6640808135242,12.134593567705183,156096.93333333332,234.5967178663317,0.1319049712028241,0.0008597663786597243
v2accuracy-0-N0-standard-location,40322.89494190319,201.30693576470344,1176.30302517913,27.086047323439914,154458.46666666667,181.06280017454864,0.14189309483384768,0.0005518180316569161
v2accuracy-0-N0-standard-mix,36584.36084850359,399.63442558607085,1191.4718639760308,14.077747912398513,155621.13333333333,246.5791957748953,0.1350750461426233,0.0009972923548959112
v2accuracy-0-N0-standard-type,38364.01213052481,398.7167097294065,1195.329685562718,28.174951808314844,155155.96666666667,285.58341052096927,0.13788404413204167,0.0010597392229405452
v2accuracy-0-N1-standard-cache-mode-id,39240.07098769073,319.1242099759878,1186.4518681928014,11.369685759132203,154099.06666666668,162.1274537592451,0.14425482916184806,0.0006607198855758299
v2accuracy-0-N1-standard-cache-mode-location,42654.95671696386,220.5276540528855,1171.209194113272,20.855062406121693,153218.76666666666,183.85258010582814,0.14901338378964324,0.0005680993731738682
v2accuracy-0-N1-standard-cache-mode-mix,40186.14543868674,294.128696447411,1168.8679387409256,15.510928368464537,153906.46666666667,240.04583070301555,0.14511781877626836,0.0008104164128976138
v2accuracy-0-N1-standard-cache-mode-type,41494.65002823886,280.09205184112835,1199.7517853444172,41.34370187094348,153649.3,235.0176276871129,0.14672923317557782,0.0007824518139004416
v2accuracy-0-N1-standard-id,39240.07098769073,319.1242099759878,1186.4518681928014,11.369685759132203,154099.06666666668,162.1274537592451,0.14425482916184806,0.0006607198855758299
v2accuracy-0-N1-standard-location,42654.95671696386,220.5276540528855,1171.209194113272,20.855062406121693,153218.76666666666,183.85258010582814,0.14901338378964324,0.0005680993731738682
v2accuracy-0-N1-standard-mix,40186.14543868674,294.128696447411,1168.8679387409256,15.510928368464537,153906.46666666667,240.04583070301555,0.14511781877626836,0.0008104164128976138
v2accuracy-0-N1-standard-type,41494.65002823886,280.09205184112835,1199.7517853444172,41.34370187094348,153649.3,235.0176276871129,0.14672923317557782,0.0007824518139004416
v2accuracy-0-N2-standard-cache-mode-id,41210.79727426275,392.7908382803127,1188.1207520211112,10.18962806501216,152922.6,208.44147943171313,0.15004026672527535,0.0005322404153024998
v2accuracy-0-N2-standard-cache-mode-location,43572.19100321255,276.950263322151,1182.3355695628404,34.76297312257693,152542.66666666666,284.014290296157,0.1522960507368815,0.0006602028174268048
v2accuracy-0-N2-standard-cache-mode-mix,41900.53982644996,302.44112220883363,1188.1318145779192,19.11474883334519,152888.1,241.72103364127165,0.15023227806228415,0.0006640535862969235
v2accuracy-0-N2-standard-cache-mode-type,42932.100718261805,261.9802558769546,1185.9853139216425,27.203932788808626,152747.1,212.05352499166347,0.15137783361725657,0.0006238579046144252
v2accuracy-0-N2-standard-id,41210.79727426275,392.7908382803127,1188.1207520211112,10.18962806501216,152922.6,208.44147943171313,0.15004026672527535,0.0005322404153024998
v2accuracy-0-N2-standard-location,43572.19100321255,276.950263322151,1182.3355695628404,34.76297312257693,152542.66666666666,284.014290296157,0.1522960507368815,0.0006602028174268048
v2accuracy-0-N2-standard-mix,41900.53982644996,302.44112220883363,1188.1318145779192,19.11474883334519,152888.1,241.72103364127165,0.15023227806228415,0.0006640535862969235
v2accuracy-0-N2-standard-type,42932.100718261805,261.9802558769546,1185.9853139216425,27.203932788808626,152747.1,212.05352499166347,0.15137783361725657,0.0006238579046144252
v2accuracy-20.0-N0-standard-cache-mode-id,176470.3348850704,3471.421582463964,446.6126189388097,12.999957654623307,73110.66666666667,2027.1102803701585,0.6844705039261544,0.008922168278112402
v2accuracy-20.0-N0-standard-cache-mode-location,220589.5642274996,1632.9693735720048,289.17528091736597,7.267674606475088,46025.066666666666,956.4412828746946,0.8002106060653343,0.00420286500062055
v2accuracy-20.0-N0-standard-cache-mode-mix,191447.3047881467,2932.4341297760466,390.397700224488,9.979325379054005,63822.86666666667,1722.2012881558455,0.7240449239264461,0.007502606989091748
v2accuracy-20.0-N0-standard-cache-mode-type,206778.31440985994,2781.0716554815467,339.58042401441503,11.566067811302196,54571.13333333333,1648.4024979185076,0.763696021932658,0.007218362639375691
v2accuracy-20.0-N0-standard-id,176470.3348850704,3471.421582463964,446.6126189388097,12.999957654623307,73110.66666666667,2027.1102803701585,0.6844705039261544,0.008922168278112402
v2accuracy-20.0-N0-standard-location,220589.5642274996,1632.9693735720048,289.17528091736597,7.267674606475088,46025.066666666666,956.4412828746946,0.8002106060653343,0.00420286500062055
v2accuracy-20.0-N0-standard-mix,191447.3047881467,2932.4341297760466,390.397700224488,9.979325379054005,63822.86666666667,1722.2012881558455,0.7240449239264461,0.007502606989091748
v2accuracy-20.0-N0-standard-type,206778.31440985994,2781.0716554815467,339.58042401441503,11.566067811302196,54571.13333333333,1648.4024979185076,0.763696021932658,0.007218362639375691
v2accuracy-20.0-N1-standard-cache-mode-id,209008.432749603,2504.8833641081806,297.14093150388436,12.215080759466463,52730.73333333333,1534.5981066455115,0.7973687383399192,0.008177099546272087
v2accuracy-20.0-N1-standard-cache-mode-location,237946.85242339253,1235.2423045027854,207.62961061710425,5.645948974858856,34664.36666666667,702.432141538943,0.8625841574470211,0.003519993739547223
